Country.Name	gini_index	pop_living_slums	poverty_headcount_1.9	rural_poverty_headcount	SI.DST.02ND.20	SI.DST.03RD.20	SI.DST.04TH.20	SI.DST.05TH.20	SI.DST.10TH.10	SI.DST.FRST.10	SI.DST.FRST.20	SI.POV.2DAY	SI.POV.GAP2	SI.POV.GAPS	SI.POV.NAGP	SI.POV.NAHC	SI.POV.RUGP	SI.POV.URGP	SI.SPR.PC40	SI.SPR.PC40.ZG	SI.SPR.PCAP	SI.SPR.PCAP.ZG	urban_poverty_headcount
St. Lucia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
St. Martin (French part)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
St. Vincent and the Grenadines	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sudan	35.39	91.6	14.92	57.6	11.65	16.29	22.87	42.37	26.68	2.64	6.82	38.94	12.79	3.98	16.2	46.5	21.3	7.1	NA	NA	NA	NA	26.5
Suriname	NA	7.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Swaziland	51.45	32.7	42.03	73.1	7.54	11.83	19.89	56.73	39.98	1.48	4	63.12	31.05	16.64	30.4	63	36.9	10.3	NA	NA	NA	NA	31.1
Sweden	27.32	NA	NA	NA	14.3	17.81	22.96	36.23	21.5	3.17	8.7	NA	NA	NA	NA	NA	NA	NA	29.01	2.0421	50.46	2.2524	NA
Switzerland	31.64	NA	NA	NA	12.69	16.86	22.54	39.81	25.02	3.29	8.09	NA	NA	NA	NA	NA	NA	NA	34.38	2.4296	66.19	0.9348	NA
Syrian Arab Republic	NA	19.3	NA	36.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.4	35.2	8.3	6.7	NA	NA	NA	NA	30.8
Tajikistan	30.76	NA	19.51	35.2	12.94	16.64	21.77	39.84	25.42	3.71	8.79	56.67	17.42	4.06	NA	31.3	NA	NA	NA	NA	NA	NA	23.2
